ID,GO
PBANKA_0834900,GO:0005524
PBANKA_1215600,GO:0003735
PBANKA_0709000,GO:0006886
PBANKA_0407700,GO:0009986
PBANKA_1344000,GO:0005634
PBANKA_0926200,GO:0042765
PBANKA_0805400,GO:0005736
PBANKA_0715600,GO:0005524
PBANKA_1416600,GO:0009055
PBANKA_0112100,GO:0006355
PBANKA_1017500,GO:0006629
PBANKA_0831700,GO:0005506
PBANKA_0941500,GO:0005622
PBANKA_1445100,GO:0004298
PBANKA_0905600,GO:0003723
PBANKA_0616100,GO:0016272
PBANKA_0517800,GO:0006904
PBANKA_0213000,GO:0003676
PBANKA_1231300,GO:0016021
PBANKA_1312300,GO:0016192
PBANKA_0929600,GO:0031428
PBANKA_0802300,GO:0005783
PBANKA_0622400,GO:0003777
PBANKA_1409400,GO:0006412
PBANKA_1428800,GO:0009055
PBANKA_1310100,GO:0003824
PBANKA_1124500,GO:0003723
PBANKA_0918600,GO:0004428
PBANKA_0825200,GO:0005524
PBANKA_1210900,GO:0000287
PBANKA_0511900,GO:0005622
PBANKA_0702800,GO:0005783
PBANKA_1403200,GO:0006355
PBANKA_1313700,GO:0004672
PBANKA_1127200,GO:0000077
PBANKA_0214800,GO:0051082
PBANKA_1138400,GO:0004198
PBANKA_0903500,GO:0042626
PBANKA_0204100,GO:0008080
PBANKA_1209000,GO:0001731
PBANKA_0308600,GO:0004816
PBANKA_0910300,GO:0016849
PBANKA_1332200,GO:0043022
PBANKA_0903900,GO:0006888
PBANKA_0826300,GO:0015035
PBANKA_1103100,GO:0015629
PBANKA_0929700,GO:0008152
PBANKA_1409900,GO:0020008
PBANKA_0416100,GO:0007018
PBANKA_1227400,GO:0030260
PBANKA_1113400,GO:0009986
PBANKA_1237800,GO:0006810
PBANKA_1038200,GO:0005634
PBANKA_1409900,GO:0031410
PBANKA_0602600,GO:0004408
PBANKA_1243300,GO:0003755
PBANKA_1225800,GO:0000413
PBANKA_1231400,GO:0005737
PBANKA_1121900,GO:0009073
PBANKA_1216400,GO:0004651
PBANKA_1221200,GO:0003735
PBANKA_0203400,GO:0055114
PBANKA_1409200,GO:0003676
PBANKA_1241800,GO:0006270
PBANKA_0704200,GO:0016765
PBANKA_0516500,GO:0005737
PBANKA_1354200,GO:0006850
PBANKA_1335900,GO:0003899
PBANKA_1229800,GO:0020011
PBANKA_1354300,GO:0006817
PBANKA_0522500,GO:0006810
PBANKA_0807500,GO:0003676
PBANKA_1350800,GO:0004222
PBANKA_1209000,GO:0005850
PBANKA_1317500,GO:0050661
PBANKA_1462200,GO:0004722
PBANKA_0206500,GO:0003924
PBANKA_0413300,GO:0005761
PBANKA_0511400,GO:0055114
PBANKA_1303700,GO:0005789
PBANKA_1127700,GO:0005737
PBANKA_0523100,GO:0006417
PBANKA_0930300,GO:0006886
PBANKA_1428800,GO:0051537
PBANKA_1114200,GO:0009052
PBANKA_1425000,GO:0003755
PBANKA_1031300,GO:0016021
PBANKA_0304200,GO:0003899
PBANKA_0909000,GO:0004089
PBANKA_1144100,GO:0005524
PBANKA_1231100,GO:0001522
PBANKA_0610000,GO:0005840
PBANKA_0517200,GO:0005737
PBANKA_0829700,GO:0004385
PBANKA_0614500,GO:0006413
PBANKA_1362100,GO:0005524
PBANKA_1430100,GO:0018344
PBANKA_0923500,GO:0005634
PBANKA_0211500,GO:0019773
PBANKA_1305300,GO:0003677
PBANKA_1317500,GO:0005829
PBANKA_0416500,GO:0016021
PBANKA_0803500,GO:0045263
PBANKA_1234900,GO:0004722
PBANKA_1134100,GO:0006457
PBANKA_1332400,GO:0005783
PBANKA_API00370,GO:0003735
PBANKA_1415500,GO:0008270
PBANKA_1025900,GO:0005737
PBANKA_0520500,GO:0003677
PBANKA_1110500,GO:0005509
PBANKA_1111600,GO:0006457
PBANKA_1462200,GO:0006470
PBANKA_1103300,GO:0045177
PBANKA_0109200,GO:0006412
PBANKA_1015900,GO:0006352
PBANKA_0921500,GO:0000398
PBANKA_0904900,GO:0003735
PBANKA_0402300,GO:0008152
PBANKA_1204300,GO:0006355
PBANKA_1038400,GO:0005783
PBANKA_0703000,GO:0016021
PBANKA_0207200,GO:0033180
PBANKA_0620100,GO:0005730
PBANKA_API00400,GO:0006412
PBANKA_0905700,GO:0003899
PBANKA_0208700,GO:0003676
PBANKA_1338700,GO:0006508
PBANKA_0720900,GO:0044312
PBANKA_0106600,GO:0005768
PBANKA_1210800,GO:0004422
PBANKA_0304600,GO:0016226
PBANKA_0418300,GO:0016021
PBANKA_1355900,GO:0005524
PBANKA_1416300,GO:0015935
PBANKA_1438100,GO:0006406
PBANKA_1206900,GO:0005525
PBANKA_1119200,GO:0030260
PBANKA_0702500,GO:0004823
PBANKA_API00360,GO:0003735
PBANKA_0931500,GO:0005886
PBANKA_0909500,GO:0005524
PBANKA_1420900,GO:0016409
PBANKA_1425350,GO:0005525
PBANKA_1352900,GO:0003735
PBANKA_1129300,GO:0070545
PBANKA_0712300,GO:0008270
PBANKA_0213100,GO:0008312
PBANKA_0107300,GO:0005524
PBANKA_0112200,GO:0051015
PBANKA_0617100,GO:0003735
PBANKA_1235300,GO:0004081
PBANKA_1204400,GO:0003677
PBANKA_0918300,GO:0016021
PBANKA_0902400,GO:0005524
PBANKA_1209400,GO:0005829
PBANKA_1343800,GO:0005730
PBANKA_0607900,GO:0007165
PBANKA_1411700,GO:0006457
PBANKA_0505100,GO:0005622
PBANKA_1422200,GO:0006812
PBANKA_1104000,GO:0004386
PBANKA_1335900,GO:0006351
PBANKA_1238800,GO:0005737
PBANKA_1411600,GO:0009058
PBANKA_1358100,GO:0016021
PBANKA_1114600,GO:0045787
PBANKA_0803100,GO:0005634
PBANKA_0211000,GO:0005634
PBANKA_API00300,GO:0003735
PBANKA_1442500,GO:0051536
PBANKA_1314600,GO:0008152
PBANKA_MIT01800,GO:0055114
PBANKA_1008200,GO:0005524
PBANKA_1404900,GO:0005524
PBANKA_0204600,GO:0070258
PBANKA_1008100,GO:0005525
PBANKA_1324600,GO:0005840
PBANKA_1315500,GO:0016021
PBANKA_1209200,GO:0006412
PBANKA_1140500,GO:0055114
PBANKA_1429500,GO:0006351
PBANKA_1347900,GO:0006464
PBANKA_0932500,GO:0051567
PBANKA_0505100,GO:0007264
PBANKA_0414600,GO:0006412
PBANKA_0925400,GO:0005524
PBANKA_1140200,GO:0003676
PBANKA_1325000,GO:0006412
PBANKA_1231000,GO:0003735
PBANKA_0417600,GO:0044312
PBANKA_0414400,GO:0035873
PBANKA_0310300,GO:0006468
PBANKA_0915000,GO:0020009
PBANKA_1332800,GO:0046872
PBANKA_1133300,GO:0003746
PBANKA_1119100,GO:0005634
PBANKA_0937000,GO:0005840
PBANKA_0815700,GO:0016021
PBANKA_0923900,GO:0008380
PBANKA_1319100,GO:0020020
PBANKA_0405700,GO:0004252
PBANKA_1109400,GO:0046488
PBANKA_0921100,GO:0006400
PBANKA_0904100,GO:0006913
PBANKA_0714700,GO:0003824
PBANKA_1313800,GO:0008312
PBANKA_1012000,GO:0005200
PBANKA_1001100,GO:0016579
PBANKA_0712000,GO:0042274
PBANKA_1362000,GO:0006412
PBANKA_0515900,GO:0000290
PBANKA_1315400,GO:0005509
PBANKA_0416800,GO:0016579
PBANKA_1122800,GO:0004523
PBANKA_1426900,GO:0003676
PBANKA_0932900,GO:0051287
PBANKA_0816400,GO:0003872
PBANKA_0803100,GO:0005524
PBANKA_0405400,GO:0006412
PBANKA_1358000,GO:0020005
PBANKA_1306100,GO:0005525
PBANKA_1332900,GO:0006357
PBANKA_0917900,GO:0005524
PBANKA_0314000,GO:0006886
PBANKA_0939200,GO:0042254
PBANKA_0611900,GO:0003824
PBANKA_1346800,GO:0016192
PBANKA_1416900,GO:0007076
PBANKA_1328300,GO:0005524
PBANKA_1318100,GO:0042540
PBANKA_0601200,GO:0030286
PBANKA_1347600,GO:0043023
PBANKA_0901600,GO:0042127
PBANKA_1464100,GO:0020039
PBANKA_1426000,GO:0008168
PBANKA_1339900,GO:0016021
PBANKA_1113000,GO:0003824
PBANKA_1005100,GO:0055085
PBANKA_0916200,GO:0051082
PBANKA_0522700,GO:0051258
PBANKA_1219400,GO:0005743
PBANKA_0704500,GO:0004842
PBANKA_0109500,GO:0003700
PBANKA_0511800,GO:0005509
PBANKA_1232200,GO:0005634
PBANKA_1230000,GO:0005789
PBANKA_1425100,GO:0006606
PBANKA_1140200,GO:0005634
PBANKA_0924500,GO:0030915
PBANKA_0505700,GO:0020011
PBANKA_0932000,GO:1990225
PBANKA_1209200,GO:0005840
PBANKA_0901300,GO:0016020
PBANKA_1318400,GO:0050661
PBANKA_1027500,GO:0046983
PBANKA_1413000,GO:0006810
PBANKA_1114400,GO:0008440
PBANKA_1203700,GO:0005737
PBANKA_1210800,GO:0005737
PBANKA_0102500,GO:0006432
PBANKA_1330800,GO:0046872
PBANKA_1214800,GO:0000481
PBANKA_1108700,GO:0051276
PBANKA_0915700,GO:0003723
PBANKA_1408000,GO:0001522
PBANKA_1434200,GO:0006420
PBANKA_1351900,GO:0003735
PBANKA_1206400,GO:0003677
PBANKA_1026900,GO:0000154
PBANKA_1327400,GO:0005634
PBANKA_0901300,GO:0009405
PBANKA_0812200,GO:0030492
PBANKA_0515500,GO:0006470
PBANKA_1416300,GO:0006412
